category,description,location,priority,creation_date,status,completion_date,service_request_number,type_of_service_request,license_plate,vehicle_make_model,vehicle_color,current_activity,most_recent_action,days_parked,street_address,zip_code,x_coordinate,y_coordinate,ward,police_district,community_area,ssa,latitude,longitude,location_full,historical_wards_2003_2015,zip_codes,community_areas,census_tracts,wards
Others,Bmw Silver vehicle. License plate: S48 3272. Parked for 90 days. Action: Vehicle was moved from original address requested,"3020 N WATERLOO CT, ZIP 60657",High,2015-04-08T00:00:00.000,Completed,2015-04-09T00:00:00.000,15-01207496,Abandoned Vehicle Complaint,S48 3272,Bmw,Silver,FVI - Outcome,Vehicle was moved from original address requested,90,3020 N WATERLOO CT,60657,44,19,6,8,41.9370259,-87.64615133,"{'latitude': '-87.64615132728282', 'longitude': '41.93702589972641'}",,,,,,,
Others,FVI - Outcome Vehicle was moved from original address requested vehicle. Action: 652 W ROSCOE ST,"1171215.844, ZIP 1922811.93",Low,2016-10-13T00:00:00.000,Completed,2016-11-14T00:00:00.000,16-07176240,Abandoned Vehicle Complaint,,FVI - Outcome,Vehicle was moved from original address requested,,652 W ROSCOE ST,0,1171215.844,1922811.93,44,19,6,8,41.94377029,-87.64661331,"{'latitude': '-87.64661331410854', 'longitude': '41.943770285359875'}",,,,,,,
Others,Cadillac Green vehicle. License plate: BUA0975. Parked for 7 days. Action: Vehicle was moved from original address requested,"619 W CORNELIA AVE, ZIP 60657",Low,2013-08-09T00:00:00.000,Completed,2013-08-23T00:00:00.000,13-01120231,Abandoned Vehicle Complaint,BUA0975,Cadillac,Green,FVI - Outcome,Vehicle was moved from original address requested,7,619 W CORNELIA AVE,60657,46,19,6,8,41.94557174,-87.64556542,"{'latitude': '-87.64556541841895', 'longitude': '41.94557173829551'}",,,,,,,
Others,Mazda Silver vehicle. License plate: 626NKT. Parked for 7 days. Action: Need Vehicle Tow Report,"437 W ROSCOE ST, ZIP 60657",High,2011-09-02T00:00:00.000,Completed,2011-09-26T00:00:00.000,11-03714648,Abandoned Vehicle Complaint,626NKT,Mazda,Silver,FVI - Outcome,Need Vehicle Tow Report,7,437 W ROSCOE ST,60657,44,23,6,8,41.94324385,-87.64207184,"{'latitude': '-87.64207184208428', 'longitude': '41.94324384654284'}",,,,,,,
Others,FVI - Outcome Vehicle was moved from original address requested vehicle. Action: 3016 N PINE GROVE AVE,"1172387.207, ZIP 1920296.309",Low,2016-10-24T00:00:00.000,Completed,2016-11-29T00:00:00.000,16-07402778,Abandoned Vehicle Complaint,,FVI - Outcome,Vehicle was moved from original address requested,,3016 N PINE GROVE AVE,0,1172387.207,1920296.309,44,19,6,8,41.9370949,-87.64202372,"{'latitude': '-87.64202372342636', 'longitude': '41.937094895726545'}",,,,,,,
Others,FVI - Outcome Vehicle was moved from original address requested vehicle. Action: 857 W FLETCHER ST,"1169946.534, ZIP 1921098.85",Low,2017-06-15T00:00:00.000,Completed,2017-07-13T00:00:00.000,17-03952210,Abandoned Vehicle Complaint,,FVI - Outcome,Vehicle was moved from original address requested,,857 W FLETCHER ST,0,1169946.534,1921098.85,44,19,6,8,41.93887732,-87.65140774,"{'latitude': '-87.65140774486167', 'longitude': '41.93887731692307'}",,,,,,,
Others,Dodge Gray vehicle. License plate: UX9051. Parked for 180 days. Action: Need Vehicle Tow Report,"2844 N CAMBRIDGE AVE, ZIP 60657",High,2012-08-10T00:00:00.000,Completed,2012-09-12T00:00:00.000,12-01434578,Abandoned Vehicle Complaint,UX9051,Dodge,Gray,FVI - Outcome,Need Vehicle Tow Report,180,2844 N CAMBRIDGE AVE,60657,44,19,6,8,41.93414843,-87.64292978,"{'latitude': '-87.642929780827', 'longitude': '41.934148427843276'}",,,,,,,
Others,Acura Gold vehicle. License plate: X318847. Parked for 60 days. Action: Vehicle was moved from original address requested,"701 W BROMPTON AVE, ZIP 60657",High,2017-01-26T00:00:00.000,Completed,2017-02-28T00:00:00.000,17-00474294,Abandoned Vehicle Complaint,X318847,Acura,Gold,FVI - Outcome,Vehicle was moved from original address requested,60,701 W BROMPTON AVE,60657,1171002.67,1923878.93,46,19,6,8,41.94645951,-87.64687364,"{'latitude': '-87.64687364239323', 'longitude': '41.94645950995542'}",,,,,
Others,Ford Black vehicle. License plate: A437819. Parked for 42 days. Action: Follow on Activity was created,"2900 N BURLING ST, ZIP 60657",Medium,2012-10-17T00:00:00.000,Completed,2012-11-26T00:00:00.000,12-01766115,Abandoned Vehicle Complaint,A437819,Ford,Black,Place 7 Day Sticker,Follow on Activity was created,42,2900 N BURLING ST,60657,1170795.388,1919503.581,44,19,6,8,41.93464009,-87.64788858,"{'latitude': '-87.64788858228572', 'longitude': '41.9346400853701'}",,,,,
Others,Buick Black vehicle. License plate: RJD520. Parked for 30 days. Action: Create Work Order,"510 W ROSCOE ST, ZIP 60657",Medium,2015-09-02T00:00:00.000,Completed - Dup,2015-09-03T00:00:00.000,15-04531079,Abandoned Vehicle Complaint,RJD520,Buick,Black,FVI - Outcome,Create Work Order,30,510 W ROSCOE ST,60657,1172232.998,1922704.346,44,19,6,8,41.94345761,-87.64256199,"{'latitude': '-87.642561993092', 'longitude': '41.94345761352975'}",,,,,
Others,Toyota Blue vehicle. License plate: 594YFW. Parked for 30 days. Action: Vehicle was moved from original address requested,"2847 N HALSTED ST, ZIP 60657",Medium,2018-02-10T00:00:00.000,Completed,2018-03-12T00:00:00.000,18-00627826,Abandoned Vehicle Complaint,594YFW,Toyota,Blue,Place 7 Day Sticker,Vehicle was moved from original address requested,30,2847 N HALSTED ST,60657,1170439.69,1919220.11,44,19,6,8,41.93411833,-87.64891528,"{'latitude': '-87.64891527863726', 'longitude': '41.934118332992334'}",,,,,
Others,Mazda Red vehicle. License plate: 6JHZ201. Parked for 45 days. Action: Need Vehicle Tow Report,"520 W ALDINE AVE, ZIP 60657",High,2012-05-18T00:00:00.000,Completed,2012-08-06T00:00:00.000,12-00942920,Abandoned Vehicle Complaint,6JHZ201,Mazda,Red,FVI - Outcome,Need Vehicle Tow Report,45,520 W ALDINE AVE,60657,44,19,6,8,41.94236063,-87.64291172,"{'latitude': '-87.64291171896483', 'longitude': '41.9423606335504'}",,,,,,,
Others,Lexus Silver vehicle. License plate: 5543909. Parked for 7 days. Action: Return to Owner - Vehicle,"2843 N BURLING ST, ZIP 60657",Low,2011-03-29T00:00:00.000,Completed,2011-04-06T00:00:00.000,11-00514837,Abandoned Vehicle Complaint,5543909,Lexus,Silver,FVI - Outcome,Return to Owner - Vehicle,7,2843 N BURLING ST,60657,44,19,6,8,41.93397146,-87.64756356,"{'latitude': '-87.64756356103372', 'longitude': '41.933971463137205'}",,,,,,,
Others,Saturn White vehicle. License plate: UH1 W6H. Parked for 30 days. Action: Vehicle was moved from original address requested,"3718 N PINE GROVE AVE, ZIP 60613",Medium,2015-11-02T00:00:00.000,Completed,2015-11-09T00:00:00.000,15-05904714,Abandoned Vehicle Complaint,UH1 W6H,Saturn,White,FVI - Outcome,Vehicle was moved from original address requested,30,3718 N PINE GROVE AVE,60613,46,19,6,8,41.95024979,-87.64712105,"{'latitude': '-87.64712105390387', 'longitude': '41.95024979259934'}",,,,,,,
Others,FVI - Outcome vehicle,"60613, ZIP 1170872.071",Low,2016-06-09T00:00:00.000,Completed - Dup,2016-06-09T00:00:00.000,16-04005807,Abandoned Vehicle Complaint,,,FVI - Outcome,Vehicle was moved from original address requested,,0,60613,1170872.071,1925386.595,46,19,6,8,41.95111042,-87.64764482,"{'latitude': '-87.6476448216525', 'longitude': '41.95111042012269'}",,,,,,
Others,Construction Equipment Blue vehicle. License plate: NONE. Action: Proceed with Tow Case,"703 W WELLINGTON, ZIP 60657",High,2019-02-06T00:00:00.000,Completed,2019-03-15T00:00:00.000,19-00014320,Abandoned Vehicle Complaint,NONE,Construction Equipment,Blue,Initial Inspection,Proceed with Tow Case,0,703 W WELLINGTON,60657,1170995.366,1920180.45,44,19,6,8,41.93634302,-87.64700507,"{'latitude': '-87.64700507185893', 'longitude': '41.936343021925346'}",,,,,
Others,Toyota Beige vehicle. License plate: ILLINOIS LICENSE BN 22512. Action: Vehicle was moved from original address requested,"555 W CORNELIA AVE, ZIP 60657",Low,2019-08-20T00:00:00.000,Completed,2019-08-26T00:00:00.000,19-00107121,Abandoned Vehicle Complaint,ILLINOIS LICENSE BN 22512,Toyota,Beige,Initial Inspection,Vehicle was moved from original address requested,0,555 W CORNELIA AVE,60657,1171676.19,1923701.198,46,19,6,8,41.94599026,-87.6443372,"{'latitude': '-87.6443371995947', 'longitude': '41.94599026354412'}",,,,,
Others,Nissan White vehicle. License plate: 892T429. Parked for 21 days. Action: Create Work Order,"437 W ALDINE AVE, ZIP 60657",Medium,2018-01-31T00:00:00.000,Completed - Dup,2018-01-31T00:00:00.000,18-00543031,Abandoned Vehicle Complaint,892T429,Nissan,White,FVI - Outcome,Create Work Order,21,437 W ALDINE AVE,60657,1172478.575,1922312.625,44,19,6,8,41.94216148,-87.64139472,"{'latitude': '-87.64139472326463', 'longitude': '41.942161477554265'}",,,,,
Others,Honda Black vehicle. License plate: DM6008. Parked for 10 days. Action: Vehicle was moved from original address requested,"614 W BARRY AVE, ZIP 60657",Low,2016-07-20T00:00:00.000,Completed,2016-08-10T00:00:00.000,16-05098619,Abandoned Vehicle Complaint,DM6008,Honda,Black,FVI - Outcome,Vehicle was moved from original address requested,10,614 W BARRY AVE,60657,1171612.55,1920712.43,44,19,6,8,41.93800371,-87.64497431,"{'latitude': '-87.64497431463727', 'longitude': '41.93800370996964'}",,,,,
